location_country,location_level,location_name,location_code,location_code_type,reference_date,measure,case_classification,time_period,value,unit,source,source_url,source_indicator_name,indicator_label,reporting_period_start,reporting_period_end,last_updated,data_quality_flag,notes
COD,3,Nizi,CD540511,pcode,2026-05-25,deaths,confirmed,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Nizi,CD540511,pcode,2026-05-25,deaths,suspected,cumulative,2,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Aru,CD540904,pcode,2026-05-25,cases,confirmed,cumulative,1,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Aru,CD540904,pcode,2026-05-25,cases,probable,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Aru,CD540904,pcode,2026-05-25,cases,recovered,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Aru,CD540904,pcode,2026-05-25,cases,suspected,cumulative,4,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Aru,CD540904,pcode,2026-05-25,contacts,,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Aru,CD540904,pcode,2026-05-25,deaths,confirmed,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Aru,CD540904,pcode,2026-05-25,deaths,suspected,cumulative,1,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Karisimbi,CD610102,pcode,2026-05-25,cases,confirmed,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Karisimbi,CD610102,pcode,2026-05-25,contacts,,cumulative,249,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Karisimbi,CD610102,pcode,2026-05-25,deaths,confirmed,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Karisimbi,CD610102,pcode,2026-05-25,deaths,suspected,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Kyondo,CD610703,pcode,2026-05-25,cases,confirmed,cumulative,1,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Kyondo,CD610703,pcode,2026-05-25,contacts,,cumulative,16,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Kyondo,CD610703,pcode,2026-05-25,deaths,suspected,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Oicha,CD610706,pcode,2026-05-25,cases,confirmed,cumulative,1,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Oicha,CD610706,pcode,2026-05-25,contacts,,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Oicha,CD610706,pcode,2026-05-25,deaths,suspected,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Butembo,CD611001,pcode,2026-05-25,cases,confirmed,cumulative,3,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Butembo,CD611001,pcode,2026-05-25,cases,recovered,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Butembo,CD611001,pcode,2026-05-25,cases,suspected,cumulative,7,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Butembo,CD611001,pcode,2026-05-25,contacts,,cumulative,22,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Butembo,CD611001,pcode,2026-05-25,deaths,suspected,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Katwa,CD611002,pcode,2026-05-25,cases,confirmed,cumulative,4,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Katwa,CD611002,pcode,2026-05-25,cases,recovered,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Katwa,CD611002,pcode,2026-05-25,cases,suspected,cumulative,13,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Katwa,CD611002,pcode,2026-05-25,contacts,,cumulative,99,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Katwa,CD611002,pcode,2026-05-25,deaths,suspected,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Miti-Murhesa,CD620204,pcode,2026-05-25,cases,confirmed,cumulative,1,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Miti-Murhesa,CD620204,pcode,2026-05-25,cases,suspected,cumulative,1,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Miti-Murhesa,CD620204,pcode,2026-05-25,deaths,suspected,cumulative,0,count,,,,,2026-05-24,2026-05-25,,,
COD,3,Bunia,CD540202,pcode,2026-05-27,cases,confirmed,cumulative,37,count,,,,,2026-05-24,2026-05-27,,,
